IsActive,Number,Name,Date,Notes,Barcode,ArticleAccountCoding,Unit,NetPrice,EU,stock,PurchasePrice,StockBalance,price_with_taxes,price_with_taxes (-20%)
TRUE,CB10067,(VO-214A) - Drivaksel høyre,1633427421,,,90,PCE,,69,4,745.2,,2490,1992
TRUE,CB10070,"(FD-170) - Drivaksel, Volvo Ford, Venstre ",1633427422,,,90,PCE,15200000,50,3,540,,1900,1520
TRUE,CB10071,(MB-235A) - Drivaksel Høyre,1633427423,,,90,PCE,,102,3,1101.6,,4999,3999.2
TRUE,CB10072,(MB-324) - Drivaksel,1633427424,,,90,PCE,,56,3,604.8,,2250,1800
TRUE,CB10073,(MB-207) - Drivaksel høyre,1633427425,,,90,PCE,,75,3,810,,3250,2600
TRUE,CB10074,(MB-192A) - Drivaksel venstre,1633427426,,,90,PCE,,163,3,1760.4,,4999,3999.2
TRUE,CB10075,(MB-202) - Drivaksel,1633427427,,,90,PCE,,94,3,1015.2,,5350,4280
TRUE,CB10076,(MB-302A) - Drivaksel,1633427428,,,90,PCE,,43,3,464.4,,1590,1272
TRUE,CB10078,(VO-233) - Drivaksel høyre,1633427429,,,90,PCE,,114,3,1231.2,,3590,2872
TRUE,CB10084,(VO-106) - (FD-185)- Drivaksel,1633427430,,,90,PCE,,58,3,626.4,,2450,1960
TRUE,CB10085,(VO-212A) - Drivaksel,1633427431,,,90,PCE,,147,3,1587.6,,3125,2500
TRUE,CB10086,ncv73518 - Drivaksel,1633427432,,,90,PCE,,80,3,864,,2750,2200
TRUE,CB10087,(VO-136XP) - Drivaksel,1633427433,,,90,PCE,,75,3,810,,2750,2200
TRUE,CB10088,(FD-163) - Drivaksel venstre,1633427434,,,90,PCE,,61,3,658.8,,2550,2040
TRUE,CB10091,(FD-283) - Drivaksel høyre,1633427435,,,90,PCE,,77,3,831.6,,3080,2464
TRUE,CB10093,(SB-310A) - Drivaksel,1633427436,,,90,PCE,,54,3,583.2,,2250,1800
TRUE,CB10094,(SB-309) - Drivaksel,1633427437,,,90,PCE,,60,3,648,,2250,1800
TRUE,CB10095,(NI-306) - Drivaksel,1633427438,,,90,PCE,,68,3,734.4,,3131,2504.8
TRUE,CB10098,(VW-424) - Drivaksel,1633427439,,,90,PCE,,77,3,831.6,,2600,2080
TRUE,CB10100,(VW-181)- (vw-141 )- Drivaksel,1633427440,,,90,PCE,,74,3,799.2,,2400,1920
TRUE,CB10102,(VW-308A) - Drivaksel,1633427441,,,90,PCE,,43,3,464.4,,1650,1320
